--------x264--------
nuaf version
!!!nuaf is running!!!
!!!nuaf is running!!!
[0.2%] 1/512 frames, 2.94 fps, 75487.00 kb/s, eta 0:02:53  
[0.4%] 2/512 frames, 3.12 fps, 43385.20 kb/s, eta 0:02:43  
[0.6%] 3/512 frames, 2.75 fps, 30434.07 kb/s, eta 0:03:05  
[0.8%] 4/512 frames, 2.66 fps, 23535.90 kb/s, eta 0:03:11  
[1.0%] 5/512 frames, 2.58 fps, 19440.28 kb/s, eta 0:03:16  
[1.2%] 6/512 frames, 2.38 fps, 17057.70 kb/s, eta 0:03:32  
[1.4%] 7/512 frames, 2.47 fps, 23109.80 kb/s, eta 0:03:24  
[1.6%] 8/512 frames, 1.81 fps, 25263.08 kb/s, eta 0:04:38  
[1.8%] 9/512 frames, 1.31 fps, 25544.27 kb/s, eta 0:06:24  
[2.0%] 10/512 frames, 1.14 fps, 24982.68 kb/s, eta 0:07:20  
[2.1%] 11/512 frames, 1.03 fps, 24450.04 kb/s, eta 0:08:07  
[2.3%] 12/512 frames, 0.99 fps, 25852.53 kb/s, eta 0:08:26  
[2.5%] 13/512 frames, 0.88 fps, 25962.69 kb/s, eta 0:09:28  
[2.7%] 14/512 frames, 0.83 fps, 25471.57 kb/s, eta 0:09:56  
[2.9%] 15/512 frames, 0.80 fps, 25090.09 kb/s, eta 0:10:20  
[3.1%] 16/512 frames, 0.79 fps, 26137.48 kb/s, eta 0:10:25  
[3.3%] 17/512 frames, 0.74 fps, 26232.25 kb/s, eta 0:11:05  
[3.5%] 18/512 frames, 0.73 fps, 25846.27 kb/s, eta 0:11:20  
[3.7%] 19/512 frames, 0.71 fps, 25526.68 kb/s, eta 0:11:33  
[3.9%] 20/512 frames, 0.71 fps, 26442.63 kb/s, eta 0:11:33  
[4.1%] 21/512 frames, 0.68 fps, 26551.55 kb/s, eta 0:12:01  
[4.3%] 22/512 frames, 0.67 fps, 26250.35 kb/s, eta 0:12:11  
[4.5%] 23/512 frames, 0.66 fps, 26011.72 kb/s, eta 0:12:20  
[4.7%] 24/512 frames, 0.66 fps, 26746.17 kb/s, eta 0:12:17  
[4.9%] 25/512 frames, 0.64 fps, 26853.34 kb/s, eta 0:12:40  
[5.1%] 26/512 frames, 0.63 fps, 26658.52 kb/s, eta 0:12:47  
[5.3%] 27/512 frames, 0.63 fps, 26436.03 kb/s, eta 0:12:53  
[5.5%] 28/512 frames, 0.63 fps, 27021.89 kb/s, eta 0:12:49  
[5.7%] 29/512 frames, 0.62 fps, 27038.77 kb/s, eta 0:13:04  
[5.9%] 30/512 frames, 0.61 fps, 26795.91 kb/s, eta 0:13:08  
[6.1%] 31/512 frames, 0.61 fps, 26555.41 kb/s, eta 0:13:10  
